"YEAR","age_category","HIV_population","denominator"
"2016","45 - 49 years","Positive"," 652250.9"
"2016","50 - 54 years","Negative","2078127.6"
"2016","50 - 54 years","Positive"," 455570.4"
"2016","55 - 59 years","Negative","1803404.5"
"2016","55 - 59 years","Positive"," 280882.5"
"2016","60 - 64 years","Negative","1460579.2"
"2016","60 - 64 years","Positive"," 148246.8"
"2016","65 - 69 years","Negative","1106318.54"
"2016","65 - 69 years","Positive","  64484.66"
"2016","70 - 74 years","Negative","758808.3"
"2016","70 - 74 years","Positive"," 21375.5"
"2016","75 - 79 years","Negative","563387.221"
"2016","75 - 79 years","Positive","  6584.879"
"2016","80 - 84 years","Negative","338759.724"
"2016","80 - 84 years","Positive","  1543.376"
"2016","85 - 89 years","Negative","183889.481"
"2016","85 - 89 years","Positive","   329.979"
"2016","90+ years","Negative","77552.5608"
"2016","90+ years","Positive","   58.9392"
"2017","0 years","Negative","1109545.932"
"2017","0 years","Positive","   5516.068"
"2017","1 years","Negative","1123570.23"
"2017","1 years","Positive","  10124.77"
"2017","2 years","Negative","1122301.28"
"2017","2 years","Positive","  13105.72"
"2017","3 years","Negative","1116628.8"
"2017","3 years","Positive","  16034.2"
"2017","4 years","Negative","1104375.1"
"2017","4 years","Positive","  17194.9"
"2017","5 - 9 years","Negative","5345574.5"
"2017","5 - 9 years","Positive"," 112744.5"
"2017","10 - 14 years","Negative","4721224.4"
"2017","10 - 14 years","Positive"," 144955.6"
"2017","15 - 19 years","Negative","4355044.4"
"2017","15 - 19 years","Positive"," 198697.6"
"2017","20 - 24 years","Negative","4500451.4"
"2017","20 - 24 years","Positive"," 501377.6"
"2017","25 - 29 years","Negative","4373871.7"
"2017","25 - 29 years","Positive"," 927980.3"
"2017","30 - 34 years","Negative","3848507"
"2017","30 - 34 years","Positive","1317037"
"2017","35 - 39 years","Negative","2901205"
"2017","35 - 39 years","Positive","1266565"
"2017","40 - 44 years","Negative","2511269"
"2017","40 - 44 years","Positive","1001490"
"2017","45 - 49 years","Negative","2234081"
"2017","45 - 49 years","Positive"," 702056"
"2017","50 - 54 years","Negative","2084205.9"
"2017","50 - 54 years","Positive"," 490667.1"
"2017","55 - 59 years","Negative","1834698.1"
"2017","55 - 59 years","Positive"," 310651.9"
"2017","60 - 64 years","Negative","1497250.3"
"2017","60 - 64 years","Positive"," 168587.7"
"2017","65 - 69 years","Negative","1142973.71"
"2017","65 - 69 years","Positive","  75938.89"
"2017","70 - 74 years","Negative","782011.59"
"2017","70 - 74 years","Positive"," 26150.61"
"2017","75 - 79 years","Negative","565905.704"
"2017","75 - 79 years","Positive","  7959.596"
"2017","80 - 84 years","Negative","347076.571"
"2017","80 - 84 years","Positive","  1936.929"
"2017","85 - 89 years","Negative","186173.3608"
"2017","85 - 89 years","Positive","   398.6692"
"2017","90+ years","Negative","80372.71987"
"2017","90+ years","Positive","   69.38013"
"2018","0 years","Negative","1112809.404"
"2018","0 years","Positive","   4987.596"
"2018","1 years","Negative","1094809.533"
"2018","1 years","Positive","   8472.467"
"2018","2 years","Negative","1117014.24"
"2018","2 years","Positive","  11620.76"
"2018","3 years","Negative","1117595.42"
"2018","3 years","Positive","  13319.58"
"2018","4 years","Negative","1112580.53"
"2018","4 years","Positive","  15902.47"
"2018","5 - 9 years","Negative","5385223.5"
"2018","5 - 9 years","Positive"," 101069.5"
"2018","10 - 14 years","Negative","4917446.1"
"2018","10 - 14 years","Positive"," 144788.9"
"2018","15 - 19 years","Negative","4325198.6"
"2018","15 - 19 years","Positive"," 200180.4"
"2018","20 - 24 years","Negative","4456640.2"
"2018","20 - 24 years","Positive"," 476456.8"
"2018","25 - 29 years","Negative","4379291.5"
"2018","25 - 29 years","Positive"," 872873.5"
"2018","30 - 34 years","Negative","3961682"
"2018","30 - 34 years","Positive","1284942"
"2018","35 - 39 years","Negative","3043073"
"2018","35 - 39 years","Positive","1320161"
"2018","40 - 44 years","Negative","2525795"
"2018","40 - 44 years","Positive","1056931"
"2018","45 - 49 years","Negative","2263438.1"
"2018","45 - 49 years","Positive"," 756904.9"
"2018","50 - 54 years","Negative","2082935.2"
"2018","50 - 54 years","Positive"," 525323.8"
"2018","55 - 59 years","Negative","1864267.3"
"2018","55 - 59 years","Positive"," 341766.7"
"2018","60 - 64 years","Negative","1533307.3"
"2018","60 - 64 years","Positive"," 190409.7"
"2018","65 - 69 years","Negative","1177209.81"
"2018","65 - 69 years","Positive","  88551.59"
"2018","70 - 74 years","Negative","812504.7"
