"YEAR","viability","age_category","HIV","case_count"
2007,"Audit","60 - 64 years","Positive",2
2007,"Audit","60 - 64 years","Unknown",14
2007,"Audit","65 - 69 years","Negative",1
2007,"Audit","65 - 69 years","Unknown",9
2007,"Audit","70 - 74 years","Unknown",4
2007,"Audit","75 - 79 years","Unknown",5
2007,"Audit","80 - 84 years","Unknown",2
2007,"Audit","85 - 89 years","Unknown",1
2007,"Audit","Unknown","Unknown",53
2007,"Non-viable","0 - 5 months","Negative",3
2007,"Non-viable","0 - 5 months","Positive",15
2007,"Non-viable","0 - 5 months","Unknown",34
2007,"Non-viable","6 - 11 months","Negative",2
2007,"Non-viable","6 - 11 months","Positive",13
2007,"Non-viable","6 - 11 months","Unknown",21
2007,"Non-viable","12 - 17 months","Negative",2
2007,"Non-viable","12 - 17 months","Positive",5
2007,"Non-viable","12 - 17 months","Unknown",11
2007,"Non-viable","18 - 23 months","Negative",3
2007,"Non-viable","18 - 23 months","Positive",4
2007,"Non-viable","18 - 23 months","Unknown",1
2007,"Non-viable","24 - 29 months","Positive",6
2007,"Non-viable","24 - 29 months","Unknown",8
2007,"Non-viable","30 - 35 months","Positive",2
2007,"Non-viable","30 - 35 months","Unknown",2
2007,"Non-viable","36 - 41 months","Positive",2
2007,"Non-viable","36 - 41 months","Unknown",2
2007,"Non-viable","42 - 47 months","Positive",1
2007,"Non-viable","42 - 47 months","Unknown",1
2007,"Non-viable","48 - 53 months","Unknown",5
2007,"Non-viable","54 - 59 months","Unknown",1
2007,"Non-viable","5 - 9 years","Negative",2
2007,"Non-viable","5 - 9 years","Positive",9
2007,"Non-viable","5 - 9 years","Unknown",14
2007,"Non-viable","10 - 14 years","Positive",3
2007,"Non-viable","10 - 14 years","Unknown",5
2007,"Non-viable","15 - 19 years","Positive",1
2007,"Non-viable","15 - 19 years","Unknown",4
2007,"Non-viable","20 - 24 years","Negative",7
2007,"Non-viable","20 - 24 years","Positive",9
2007,"Non-viable","20 - 24 years","Unknown",15
2007,"Non-viable","25 - 29 years","Negative",4
2007,"Non-viable","25 - 29 years","Positive",28
2007,"Non-viable","25 - 29 years","Unknown",33
2007,"Non-viable","30 - 34 years","Negative",1
2007,"Non-viable","30 - 34 years","Positive",36
2007,"Non-viable","30 - 34 years","Unknown",40
2007,"Non-viable","35 - 39 years","Negative",3
2007,"Non-viable","35 - 39 years","Positive",43
2007,"Non-viable","35 - 39 years","Unknown",24
